state,period_id:id,ref,id,journal_id:id
draft,period_2001-1,,move_GB1200120010010,journal_GB1
draft,period_2001-1,,move_GB1200120010011,journal_GB1
draft,period_2001-1,,move_GB1200120010011,journal_GB1
draft,period_2001-1,,move_GB1200120010011,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2001-12,,move_GB1200120010015,journal_GB1
draft,period_2002-1,,move_GB1200220020001,journal_GB1
draft,period_2002-1,,move_GB1200220020001,journal_GB1
draft,period_2001-1,,move_GBE200120010001,journal_GBE
draft,period_2001-5,,move_GBE200120010002,journal_GBE
draft,period_2001-1,,move_PR$2001100100001,journal_PR$
draft,period_2001-3,,move_PR$2001100300002,journal_PR$
draft,period_2001-6,,move_PR$2001100600003,journal_PR$
draft,period_2001-12,,move_PR$2001101200004,journal_PR$
draft,period_2001-12,,move_PR$2001101200005,journal_PR$
draft,period_2001-12,,move_PR$2001101200007,journal_PR$
draft,period_2001-12,,move_PR$2001101200008,journal_PR$
draft,period_2001-12,,move_PR$2001101200009,journal_PR$
draft,period_2001-12,,move_PR$2001101200010,journal_PR$
draft,period_2002-2,,move_PR$2002110200006,journal_PR$
draft,period_2001-1,,move_V01200120010001,journal_V01
draft,period_2001-1,,move_V01200120010002,journal_V01
draft,period_2001-1,,move_V01200120010003,journal_V01
draft,period_2001-1,,move_V01200120010004,journal_V01
draft,period_2001-1,,move_V01200120010005,journal_V01
draft,period_2001-1,,move_V01200120010006,journal_V01
draft,period_2001-1,,move_V01200120010007,journal_V01
draft,period_2001-1,,move_V01200120010008,journal_V01
draft,period_2001-1,,move_V01200120010009,journal_V01
draft,period_2001-1,,move_V01200120010010,journal_V01
draft,period_2001-1,,move_V01200120010011,journal_V01
